CBD,LAT,LON,THK,SRF
424,-80.149506,-168.389694,9999,9999
425,-80.149506,-168.293793,9999,9999
426,-80.146805,-168.195206,9999,9999
427,-80.149506,-168.096497,9999,9999
428,-80.149506,-168.000595,9999,9999
429,-80.146805,-167.901993,9999,9999
430,-80.146805,-167.810196,9999,9999
431,-80.146805,-167.703201,9999,9999
432,-80.143997,-167.610107,9999,9999
433,-80.143997,-167.511398,9999,9999
434,-80.143997,-167.418304,9999,9999
435,-80.143997,-167.319595,9999,9999
436,-80.141205,-167.230606,9999,9999
437,-80.141205,-167.131897,9999,9999
438,-80.139801,-167.031906,9999,9999
439,-80.138504,-166.934601,9999,9999
440,-80.135696,-166.824905,9999,9999
441,-80.135696,-166.731796,9999,9999
442,-80.134399,-166.633102,9999,9999
443,-80.134399,-166.538605,9999,9999
444,-80.130203,-166.446793,9999,9999
445,-80.130203,-166.353699,9999,9999
446,-80.130203,-166.253601,9999,9999
447,-80.128799,-166.154907,9999,9999
448,-80.126099,-166.059006,9999,9999
449,-80.124695,-165.959,9999,9999
450,-80.123398,-165.861694,9999,9999
451,-80.121994,-165.7686,9999,9999
452,-80.120605,-165.669907,9999,9999
453,-80.119202,-165.572601,9999,9999
454,-80.117905,-165.479507,9999,9999
455,-80.115097,-165.382202,9999,9999
456,-80.113693,-165.283493,9999,9999
457,-80.110992,-165.191696,9999,9999
458,-80.1082,-165.083496,9999,9999
459,-80.105499,-164.995804,9999,9999
460,-80.105499,-164.897202,9999,9999
461,-80.105499,-164.804001,9999,9999
462,-80.104095,-164.706696,9999,9999
463,-80.101395,-164.609406,9999,9999
464,-80.100006,-164.514893,9999,9999
465,-80.098602,-164.414795,9999,9999
466,-80.095901,-164.318893,9999,9999
467,-80.095901,-164.214706,9999,9999
468,-80.091705,-164.117493,9999,9999
469,-80.093094,-164.013306,9999,9999
470,-80.089005,-163.916107,9999,9999
471,-80.089005,-163.817398,9999,9999
472,-80.0849,-163.729706,9999,9999
473,-80.0849,-163.631104,9999,9999
